draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,730890,588720,0.0044727065,0.9369,0.25311,56979,108410,13437, 670,363678,57912,1983,127821,38984, 94992,11075, 595,312940,40689,1534, 87911,132243,64110,151221,45991,130245,55494,120008,60971,178240, 96632,55048,141731,58226,125124, 96632,178240,1,1,142393,64639,0.6878,0.6906,1,2,0,-0.1179
cd_2020,2,724381,567185,0.0044727065,0.9369,0.05768,81944,205955, 8440,1651,167880,91142,3300,164069,54123,180632, 6984,1405,145328,64529,2690,111494,134653,64737,155388,46656,146070,56537,124925,70755,187888,100232,55684,145016,63638,135498,100232,187888,1,1,149784,67785,0.6884,0.6912,1,2,0,-0.1179
1,1,726887,568107,0.0010286744,0.9489,0.33159,73857,129262,14429, 780,279468,70706,2322,156063,48943,110135,11734, 673,239116,50563,1818,105125,121460,67906,143649,48358,124463,60390,110681,69844,165552,102647,58126,132552,65110,117571,102647,165552,1,1,133161,69828,0.6560,0.6586,1,2,0,-0.1179
1,2,728384,587798,0.0010286744,0.9489,0.07001,65066,185103, 7448,1541,252090,78348,2961,135827,44164,165489, 6325,1327,219152,54655,2406, 94280,145436,60941,162960,44289,151853,51642,134252,61883,200576, 94217,52606,154195,56754,143051, 94217,200576,1,1,159016,62596,0.7175,0.7204,1,2,0,-0.1179
2,1,728174,570633,0.0007400683,0.9609,0.39331,73976,133942,14179, 796,276438,69635,2395,156813,49116,114684,11509, 690,236971,49917,1876,105870,124466,69147,146567,49625,127346,61634,113314,71165,170523,103828,59381,135515,66393,120329,103828,170523,1,1,136444,71080,0.6575,0.6599,1,2,0,-0.1179
2,2,727097,585272,0.0007400683,0.9609,0.07203,64947,180423, 7698,1525,255120,79419,2888,135077,43991,160940, 6550,1310,221297,55301,2348, 93535,142430,59700,160041,43022,148970,50397,131619,60561,195606, 93036,51352,151232,55471,140293, 93036,195606,1,1,155733,61345,0.7174,0.7205,1,2,0,-0.1179
3,1,729366,582047,0.0023782512,0.9449,0.20659,67656,143058,15196, 914,288256,74302,2590,137394,46467,123800,12486, 801,249257,52861,2068, 94307,122692,61861,140301,45491,122871,54633,108697,63782,168064, 94048,53674,131494,59201,115783, 94048,168064,1,0,132526,63963,0.6745,0.6767,1,2,0,-0.1179
3,2,725905,573858,0.0023782512,0.9449,0.06681,71267,171307, 6681,1407,243302,74752,2693,154496,46640,151824, 5573,1199,209011,52357,2156,105098,144204,66985,166308,47156,153445,57399,136236,67945,198064,102816,57059,155254,62664,144839,102816,198064,1,0,159651,68461,0.6999,0.7030,1,2,0,-0.1179
4,1,729377,574294,0.0023933687,0.9569,0.37190,74216,137839,14391, 847,276855,68164,2470,154595,49668,118822,11804, 738,237881,49100,1936,104345,123703,69123,145301,49767,125925,61505,111920,70938,169475,104091,59440,134501,66215,118921,104091,169475,1,1,135265,71084,0.6555,0.6580,1,2,0,-0.1179
4,2,725894,581611,0.0023933687,0.9569,0.07171,64707,176526, 7486,1474,254703,80890,2813,137295,43439,156802, 6255,1262,220387,56118,2288, 95060,143193,59724,161308,42880,150391,50527,133013,60789,196653, 92773,51292,152246,55650,141701, 92773,196653,1,1,156912,61340,0.7189,0.7220,1,2,0,-0.1179
5,1,729366,582047,0.0023782512,0.9449,0.20659,67656,143058,15196, 914,288256,74302,2590,137394,46467,123800,12486, 801,249257,52861,2068, 94307,122692,61861,140301,45491,122871,54633,108697,63782,168064, 94048,53674,131494,59201,115783, 94048,168064,1,0,132526,63963,0.6745,0.6767,1,2,0,-0.1179
5,2,725905,573858,0.0023782512,0.9449,0.06681,71267,171307, 6681,1407,243302,74752,2693,154496,46640,151824, 5573,1199,209011,52357,2156,105098,144204,66985,166308,47156,153445,57399,136236,67945,198064,102816,57059,155254,62664,144839,102816,198064,1,0,159651,68461,0.6999,0.7030,1,2,0,-0.1179
6,1,726970,565198,0.0009146063,0.9696,0.44704,75623,131240,16226, 822,274240,71813,2295,154711,49907,110515,12976, 715,233940,51149,1797,104199,116905,67105,138854,47589,120161,59504,106545,68898,160496,102805,57341,127877,64193,113351,102805,160496,1,1,128592,69179,0.6502,0.6531,1,2,0,-0.1179
6,2,728301,590707,0.0009146063,0.9696,0.07307,63300,183125, 5651,1499,257318,77241,2988,137179,43200,165109, 5083,1285,224328,54069,2427, 95206,149991,61741,167755,45058,156155,52527,138388,62829,205632, 94059,53391,158870,57671,147270, 94059,205632,1,1,163585,63245,0.7212,0.7238,1,2,0,-0.1179
7,1,726615,578929,0.0014024879,0.9329,0.19392,62380,114733,12325, 847,318887,78843,2236,136364,42213,100636,10208, 734,274087,55635,1758, 93658,120697,61023,138402,44218,121002,53681,106975,62968,164918, 95204,52620,129548,58318,113987, 95204,164918,1,1,130399,63420,0.6728,0.6756,1,2,0,-0.1179
7,2,728656,576976,0.0014024879,0.9329,0.06604,76543,199632, 9552,1474,212671,70211,3047,155526,50894,174988, 7851,1266,184181,49583,2466,105747,146199,67823,168207,48429,155314,58351,137958,68758,201211,101660,58113,157200,63547,146634,101660,201211,1,1,161779,69004,0.7010,0.7036,1,2,0,-0.1179
8,1,724977,581742,0.0036536150,0.9545,0.28030,64442,140754,13289, 902,285983,75058,2502,142047,44167,122517,10894, 780,249112,53488,2000, 98784,127600,62592,145703,46143,127399,55182,113586,63803,172666, 91031,54364,136650,59487,120492, 91031,172666,1,0,137391,63751,0.6831,0.6847,1,2,0,-0.1179
8,2,730294,574163,0.0036536150,0.9545,0.06993,74481,173611, 8588,1419,245575,73996,2781,149843,48940,153107, 7165,1220,209156,51730,2224,100621,139296,66255,160906,46504,148917,56849,131347,67923,193462,105833,56368,150098,62378,140130,105833,193462,1,0,154786,68674,0.6927,0.6965,1,2,0,-0.1179
9,1,730483,568202,0.0039133605,0.9633,0.36635,75265,129776,16031, 816,281758,70262,2280,154295,49625,109270,12825, 709,239833,50218,1784,103938,116608,66871,138509,47413,119730,59286,106121,68692,159836,102457,57137,127556,63982,112924,102457,159836,1,1,128161,68942,0.6502,0.6532,1,2,0,-0.1179
9,2,724788,587703,0.0039133605,0.9633,0.07130,63658,184589, 5846,1505,249800,78792,3003,137595,43482,166354, 5234,1291,218435,55000,2440, 95467,150288,61976,168100,45234,156586,52745,138812,63035,206292, 94407,53596,159191,57883,147698, 94407,206292,1,1,164016,63482,0.7210,0.7236,1,2,0,-0.1179
10,1,726803,570102,0.0011441168,0.9569,0.36040,73677,134307,13948, 796,275365,69005,2454,157251,48960,115095,11373, 685,236305,49715,1942,106027,128914,70172,151258,50519,131598,62547,117163,72313,175836,104704,60342,140084,67423,124379,104704,175836,1,1,140954,72051,0.6617,0.6640,1,2,0,-0.1179
10,2,728468,585803,0.0011441168,0.9569,0.07120,65246,180058, 7929,1525,256193,80049,2829,134639,44147,160529, 6686,1315,221963,55503,2282, 93378,137982,58674,155351,42128,144718,49485,127770,59414,190292, 92160,50391,146663,54441,136243, 92160,190292,1,1,151224,60373,0.7147,0.7180,1,2,0,-0.1179
11,1,725374,569014,0.0031080122,0.9537,0.36550,73986,134087,14318, 792,274640,68888,2400,156263,49229,114882,11655, 690,235425,49656,1884,105593,122483,68331,144399,49011,125476,60985,111630,70442,167946,102697,58667,133439,65707,118552,102697,167946,1,1,134387,70293,0.6566,0.6590,1,2,0,-0.1179
11,2,729897,586891,0.0031080122,0.9537,0.07136,64937,180278, 7559,1529,256918,80166,2883,135627,43878,160742, 6404,1310,222843,55562,2340, 93812,144413,60515,162210,43636,150840,51046,133303,61285,198182, 94167,52066,153308,56157,142070, 94167,198182,1,1,157790,62131,0.7175,0.7206,1,2,0,-0.1179
12,1,730062,566215,0.0033347741,0.9688,0.36870,74608,120909,16167, 813,288750,77140,2196,149479,49238,101380,12941, 710,244980,54356,1720,100890,110187,62819,131275,43709,113748,55415,100101,65134,150844, 99566,53260,120729,60265,106923, 99566,150844,1,1,121231,65328,0.6498,0.6535,1,2,0,-0.1179
12,2,725209,589690,0.0033347741,0.9688,0.07152,64315,193456, 5710,1508,242808,71914,3087,142411,43869,174244, 5118,1290,213288,50862,2504, 98515,156709,66027,175334,48938,162568,56617,144833,66593,215284, 97298,57473,166018,61599,153699, 97298,215284,1,1,170946,67097,0.7181,0.7202,1,2,0,-0.1179
13,1,724985,563968,0.0036426205,0.9569,0.32565,74295,121004,16244, 832,289529,73045,2222,147814,49085,101661,13038, 719,246172,51670,1739, 99884,110886,63094,131817,43988,113909,55497,100530,64886,151607, 99647,53537,121351,60183,107218, 99647,151607,1,1,121750,65421,0.6505,0.6541,1,2,0,-0.1179
