draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,919703,692469,0.000163123,0.9781,0.1919,108819,736048, 5198, 9522,10437,1597,4635,43447, 68260,572531,3553, 7094, 8565,1134,3329,28003,220839, 86227,234357, 84659,195396,105230,205234, 92181,199964, 99996,302700,132109,294510,131240,227599, 85444,200199, 99135,298605,131674,1,3,104520,236142,0.3068,0.3074,0,0,0,0.1884
cd_2020,2,919403,683931,0.000163123,0.9781,0.3322,130588,714475, 9587, 9381,15599,1804,3608,34361, 83440,548935,6393, 6841,12443,1308,2598,21973,188215,103539,214659,103589,166264,125853,179556,111102,170690,122040,251418,154911,243934,154623,201437,103564,172171,119666,247677,154768,1,3,125094,202105,0.3823,0.3828,0,0,0,0.1884
1,1,915533,708769,0.004371689,0.9864,0.2411, 68828,760018, 9018, 9129,17043,1596,4775,45126, 45176,603206,5810, 6813,13606,1186,3560,29412,207551,120830,225983,117377,189450,145967,201727,128749,193273,140178,281693,183283,276868,180577,216767,119104,194818,138298,279281,181930,1,1,145280,225220,0.3921,0.3920,0,0,0,0.1884
1,2,923573,667631,0.004371689,0.9864,0.3199,170579,690505, 5767, 9774, 8993,1805,3468,32682,106524,518260,4136, 7122, 7402,1256,2367,20564,201503, 68936,223033, 70872,172210, 85115,183062, 74534,177381, 81858,272425,103737,261577,105286,212268, 69904,177552, 80502,267001,104513,1,1, 84334,213027,0.2836,0.2850,0,0,0,0.1884
2,1,917026,705830,0.002748074,0.9797,0.1913,106761,731606, 6881, 9460,11833,1591,4916,43978, 68126,582635,4529, 7007, 9641,1149,3637,29106,209305,112327,226035,109706,187637,133682,199065,118261,191661,128656,280164,164827,273726,163008,217670,111017,192789,126866,276945,163918,1,2,132924,223941,0.3725,0.3729,0,0,0,0.1884
2,2,922080,670570,0.002748074,0.9797,0.3411,132646,718917, 7904, 9443,14203,1810,3327,33830, 83574,538831,5417, 6928,11367,1293,2290,20870,199749, 77439,222981, 78543,174023, 97400,185724, 85022,178992, 93380,273954,122193,264719,122855,211365, 77991,179581, 91935,269337,122525,1,2, 96690,214307,0.3109,0.3116,0,0,0,0.1884
3,1,915291,661633,0.004634861,0.9868,0.3244,170256,683050, 5800, 9755, 8925,1792,3421,32292,106278,512808,4165, 7102, 7347,1260,2333,20340,199535, 68570,221158, 70630,169651, 84703,180491, 74198,174869, 81437,267678,102823,256663,104512,210346, 69600,175005, 80113,262171,103668,1,1, 83839,210007,0.2853,0.2867,0,0,0,0.1884
3,2,923815,714767,0.004634861,0.9868,0.2453, 69151,767473, 8985, 9148,17111,1609,4822,45516, 45422,608658,5781, 6833,13661,1182,3594,29636,209520,121196,227858,117619,192009,146379,204298,129085,195785,140599,286440,184197,281782,181352,218689,119408,197365,138687,284111,182774,1,1,145775,228241,0.3898,0.3897,0,0,0,0.1884
4,1,919393,676382,0.000173998,0.9725,0.3841,132741,713939, 8425, 9405,15450,1824,3489,34120, 84553,541604,5795, 6893,12311,1303,2483,21440,189728, 89851,214724, 90072,165782,110760,178250, 97070,170395,106788,258287,137540,249834,137900,202226, 89961,171477,104873,254061,137721,1,2,109997,203858,0.3505,0.3512,0,0,0,0.1884
4,2,919713,700018,0.000173998,0.9725,0.1879,106666,736584, 6360, 9498,10586,1577,4754,43688, 67147,579862,4151, 7042, 8697,1139,3444,28536,219326, 99915,234292, 98176,195878,120322,206540,106213,200258,115248,295831,149479,288611,147963,226809, 99047,200893,113927,292221,148722,1,2,119617,234389,0.3379,0.3383,0,0,0,0.1884
5,1,919442,666107,0.000120711,0.9860,0.3658,169903,687538, 5718, 9794, 8803,1772,3507,32407,106150,517323,4101, 7148, 7247,1237,2411,20490,200849, 69761,222528, 71839,170764, 86129,181726, 75468,176098, 82737,269275,104325,258189,106064,211688, 70800,176197, 81445,263733,105195,1,0, 85189,211347,0.2873,0.2887,0,0,0,0.1884
5,2,919664,710293,0.000120711,0.9860,0.2097, 69504,762985, 9067, 9109,17233,1629,4736,45401, 45550,604143,5845, 6787,13761,1205,3516,29486,208205,120005,226488,116409,190896,144953,203064,127815,194555,139299,284843,182695,280255,179799,217347,118207,196173,137355,282549,181247,1,0,144425,226900,0.3889,0.3888,0,0,0,0.1884
6,1,915965,709343,0.003901896,0.9888,0.2458, 68539,760941, 8943, 9105,17001,1593,4758,45085, 45064,604007,5767, 6794,13575,1180,3540,29416,207912,120821,226184,117236,190165,145790,202448,128558,193945,140044,282828,183306,278170,180467,217048,119029,195520,138130,280499,181887,1,2,145175,225949,0.3912,0.3910,0,0,0,0.1884
6,2,923141,667057,0.003901896,0.9888,0.3253,170868,689582, 5842, 9798, 9035,1808,3485,32723,106636,517459,4179, 7141, 7433,1262,2387,20560,201143, 68945,222832, 71013,171495, 85292,182341, 74725,176709, 81992,271290,103714,260275,105396,211987, 69979,176850, 80670,265783,104555,1,2, 84439,212298,0.2846,0.2859,0,0,0,0.1884
7,1,919582,691705,0.000031537,0.9781,0.1761,112497,730121, 5970, 9645,11206,1633,4569,43941, 70690,567751,4173, 7152, 9221,1157,3272,28289,218201, 84561,231679, 83036,192605,103194,202241, 90578,197100, 98248,298683,129358,290424,128684,224941, 83799,197317, 97340,294553,129021,1,3,102523,232989,0.3056,0.3062,0,0,0,0.1884
7,2,919524,684695,0.000031537,0.9781,0.3444,126910,720402, 8815, 9258,14830,1768,3674,33867, 81010,553715,5773, 6783,11787,1285,2655,21687,190853,105205,217337,105212,169055,127888,182549,112704,173554,123788,255435,157662,248021,157179,204095,105208,175053,121461,251729,157421,1,3,127091,205258,0.3824,0.3828,0,0,0,0.1884
8,1,920579,685779,0.001115760,0.9817,0.4063,131632,714482, 9784, 9652,15386,1906,3626,34111, 84412,549546,6548, 7115,12302,1384,2596,21876,188201,100871,213632,101202,164717,123131,177921,108637,169385,119142,250696,150823,242591,150939,200916,101037,170676,116971,246644,150882,1,3,122107,201021,0.3779,0.3785,0,0,0,0.1884
