draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,gov_18_dem_mil,gov_18_rep_moo,uss_18_dem_rin,uss_18_rep_bra,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,682922,558500,0.002558063,0.9363,0.12901,610881,15050,15057,1787,10888,196,2374,26689,508394,10166,10187,1460,8708,164,1790,17631,206031,150928,185121,129839,39856,102145,258505,160470,210175,192155,150928,206031,115992,112488,176312,234340,1,1,179938,147107,0.5502,0.5170,0.8,0.8,0,-0.0052029
cd_2020,2,679437,551585,0.002558063,0.9363,0.23062,617383,10065,11552,5506, 5780,211,2056,26884,509110, 6385, 7469,4143,4628,168,1575,18107,151704,184665,135841,142472,26412,121356,176565,200297,137066,225487,184665,151704,131914, 81127,212892,156816,1,1,125518,174855,0.4179,0.3929,0.0,0.8,0,-0.0052029
1,1,684503,559189,0.004879037,0.9582,0.24802,625059, 7305,11720,5562, 5896,214,2115,26632,517395, 5122, 7675,4192,4760,185,1644,18216,160838,183786,146044,143499,28005,121556,187375,200094,145838,226489,183786,160838,132528, 87024,213291,166607,1,2,133620,175085,0.4328,0.4067,0.2,1.0,0,-0.0914113
1,2,677856,550896,0.004879037,0.9582,0.24068,603205,17810,14889,1731,10772,193,2315,26941,500109,11429, 9981,1411,8576,147,1721,17522,196897,151807,174918,128812,38263,101945,247695,160673,201403,191153,151807,196897,115378,106591,175913,224549,1,2,171835,146878,0.5392,0.5066,0.8,1.0,0,-0.0914113
2,1,680240,555238,0.001379225,0.9553,0.23290,621023, 7511,11632,5553, 5743,201,2065,26512,513777, 5195, 7627,4164,4671,176,1595,18033,158481,183555,143001,143229,27482,121278,184998,199201,144008,225461,183555,158481,132254, 85241,212331,164503,1,1,131594,174545,0.4299,0.4038,0.0,0.8,0, 0.0027725
2,2,682119,554847,0.001379225,0.9553,0.23022,607241,17604,14977,1740,10925,206,2365,27061,503727,11356,10029,1439,8665,156,1770,17705,199254,152038,177961,129082,38786,102223,250072,161566,203233,192181,152038,199254,115652,108374,176874,226652,1,1,173861,147418,0.5412,0.5087,0.8,0.8,0, 0.0027725
3,1,683124,555241,0.002854607,0.9686,0.26328,605166,20179,15133,1790,11036,232,2410,27178,502321,12874,10092,1483,8744,180,1808,17739,196986,151823,174910,128352,39085,101838,246017,161129,200166,191182,151823,196986,115095,106997,176156,223092,1,0,171433,146865,0.5386,0.5069,0.8,1.0,0,-0.0908115
3,2,679235,554844,0.002854607,0.9686,0.23770,623098, 4936,11476,5503, 5632,175,2020,26395,515183, 3677, 7564,4120,4592,152,1557,17999,160749,183770,146052,143959,27183,121663,189053,199638,147075,226460,183770,160749,132811, 86618,213049,168064,1,0,134022,175098,0.4336,0.4066,0.2,1.0,0,-0.0908115
4,1,679151,551484,0.002977923,0.9639,0.27812,600991,20746,15264,1740,10879,209,2382,26940,498516,13196,10278,1423,8668,166,1793,17444,198311,150726,176315,128255,38637,101610,248665,159024,202394,189663,150726,198311,114933,107476,174344,225529,1,0,172864,145856,0.5424,0.5097,0.8,1.0,0,-0.0912014
4,2,683208,558601,0.002977923,0.9639,0.21799,627273, 4369,11345,5553, 5789,198,2048,26633,518988, 3355, 7378,4180,4668,166,1572,18294,159424,184867,144647,144056,27631,121891,186405,201743,144847,227979,184867,159424,132973, 86139,214861,165626,1,0,132591,176107,0.4295,0.4035,0.2,1.0,0,-0.0912014
5,1,679936,556102,0.001825510,0.9696,0.22118,624347, 4370,11352,5512, 5750,194,2061,26350,516691, 3371, 7393,4152,4638,164,1580,18113,159736,184126,145396,143859,27611,121637,186569,200989,144995,227302,184126,159736,132748, 86503,214145,165782,1,0,132861,175583,0.4307,0.4046,0.2,1.0,0,-0.0916122
5,2,682423,553983,0.001825510,0.9696,0.30028,603917,20745,15257,1781,10918,213,2369,27223,500813,13180,10263,1451,8698,168,1785,17625,197999,151467,175566,128452,38657,101864,248501,159778,202246,190340,151467,197999,115158,107111,175059,225373,1,0,172594,146380,0.5411,0.5086,0.8,1.0,0,-0.0916122
6,1,684014,559269,0.004161165,0.9591,0.20967,628141, 4362,11390,5545, 5783,198,2050,26545,519671, 3350, 7434,4179,4666,166,1573,18230,160018,185331,145227,144547,27680,122349,187207,202303,145488,228630,185331,160018,133448, 86454,215467,166347,1,1,133124,176632,0.4298,0.4037,0.2,1.0,0,-0.0902165
6,2,678345,550816,0.004161165,0.9591,0.23322,600123,20753,15219,1748,10885,209,2380,27028,497833,13201,10222,1424,8670,166,1792,17508,197717,150262,175735,127764,38588,101152,247863,158464,201753,189012,150262,197717,114458,107161,173738,224808,1,1,172331,145331,0.5425,0.5099,0.8,1.0,0,-0.0902165
7,1,677869,551432,0.004859952,0.9515,0.22796,603221,17808,14810,1715,10857,209,2356,26893,500474,11445, 9948,1414,8610,159,1764,17618,198377,150841,177182,128076,38731,101304,249009,160431,202426,190876,150841,198377,114690,107957,175654,225717,1,2,173145,146306,0.5420,0.5096,0.8,0.8,0, 0.0050759
7,2,684490,558653,0.004859952,0.9515,0.23179,625043, 7307,11799,5578, 5811,198,2074,26680,517030, 5106, 7708,4189,4726,173,1601,18120,159358,184752,143780,144235,27537,122197,186061,200336,144815,226766,184752,159358,133216, 85658,213551,165438,1,2,132310,175657,0.4296,0.4035,0.0,0.8,0, 0.0050759
8,1,684379,556744,0.004697000,0.9620,0.24195,609679,17285,15063,1772,10735,209,2396,27240,505493,11404,10118,1437,8559,165,1801,17767,199440,153432,177066,130156,38773,103216,249868,162662,203165,193338,153432,199440,116686,107919,178000,226516,1,1,173662,148561,0.5390,0.5065,0.8,1.0,0,-0.0946913
8,2,677980,553341,0.004697000,0.9620,0.24397,618585, 7830,11546,5521, 5933,198,2034,26333,512011, 5147, 7538,4166,4777,167,1564,17971,158295,182161,143896,142155,27495,120285,185202,198105,144076,224304,182161,158295,131220, 85696,211205,164639,1,1,131793,173402,0.4318,0.4057,0.2,1.0,0,-0.0946913
9,1,678926,550682,0.003308232,0.9743,0.31850,600788,20567,15109,1791,10802,220,2368,27281,497871,13032,10069,1474,8601,174,1775,17686,193769,151527,171029,127719,38501,101493,242507,160317,197406,189989,151527,193769,114606,104765,175153,219956,1,0,168642,146209,0.5356,0.5041,0.8,1.0,0,-0.0876788
9,2,683433,559403,0.003308232,0.9743,0.24815,627476, 4548,11500,5502, 5866,187,2062,26292,519633, 3519, 7587,4129,4735,158,1590,18052,163966,184066,149933,144592,27767,122008,192563,200450,149835,227653,184066,163966,133300, 88850,214052,171199,1,0,136813,175754,0.4377,0.4105,0.2,1.0,0,-0.0876788
10,1,680579,552326,0.000881559,0.9762,0.28279,602373,20563,15154,1787,10812,220,2377,27293,499456,13032,10113,1468,8599,174,1779,17705,195094,151894,172337,128175,38586,101798,244290,160563,198892,190503,151894,195094,114987,105461,175533,221591,1,0,169840,146587,0.5367,0.5050,0.8,1.0,0,-0.0892003
10,2,681780,557759,0.000881559,0.9762,0.25355,625891, 4552,11455,5506, 5856,187,2053,26280,518048, 3519, 7543,4135,4737,158,1586,18033,162641,183699,148625,144136,27682,121703,190780,200204,148349,227139,183699,162641,132919, 88153,213672,169565,1,0,135615,175376,0.4361,0.4091,0.2,1.0,0,-0.0892003
11,1,681231,556329,0.000075604,0.9629,0.24144,625133, 4791,11394,5514, 5794,192,2040,26373,516609, 3627, 7447,4151,4676,161,1569,18089,158737,185656,144211,145008,27235,122856,185613,202280,144153,228643,185656,158737,133932, 85723,215461,164883,1,1,131990,176889,0.4273,0.4012,0.0,0.8,0, 0.0062629
11,2,681128,553756,0.000075604,0.9629,0.22031,603131,20324,15215,1779,10874,215,2390,27200,500895,12924,10209,1452,8660,171,1796,17649,198998,149937,176751,127303,39033,100645,249457,158487,203088,188999,149937,198998,113974,107892,173743,226272,1,1,173465,145074,0.5446,0.5121,0.8,0.8,0, 0.0062629
12,1,684459,557050,0.004814443,0.9496,0.21397,608452,18507,15028,1731,11070,229,2424,27018,505222,11869,10072,1423,8772,172,1826,17694,200486,152464,178971,129251,39348,102025,251096,161553,204172,192299,152464,200486,115638,109159,176926,227634,1,2,174815,147518,0.5423,0.5101,0.8,0.8,0, 0.0013682
12,2,677900,553035,0.004814443,0.9496,0.22588,619812, 6608,11581,5562, 5598,178,2006,26555,512282, 4682, 7584,4180,4564,160,1539,18044,157249,183129,141991,143060,26920,121476,183974,199214,143069,225343,183129,157249,132268, 84456,212279,163521,1,2,130641,174444,0.4282,0.4020,0.0,0.8,0, 0.0013682
13,1,679176,556238,0.002941222,0.9772,0.23780,622293, 4773,11938,5495, 6014,171,2075,26417,515784, 3708, 7933,4104,4924,152,1570,18063,166323,180440,151736,141964,27681,119666,195968,196083,153256,223359,180440,166323,130815, 89708,209721,174612,1,0,138993,172302,0.4465,0.4182,0.2,0.8,0, 0.0130028
13,2,683183,553847,0.002941222,0.9772,0.31857,605971,20342,14671,1798,10654,236,2355,27156,501720,12843, 9723,1499,8412,180,1795,17675,191412,155153,169226,130347,38587,103835,239102,164684,193985,194283,155153,191412,117091,103907,179484,216543,1,0,166462,149660,0.5266,0.4960,0.6,0.8,0, 0.0130028
14,1,681052,554227,0.000187175,0.9458,0.26313,620681, 7726,11831,5560, 5855,205,2064,27130,512186, 5276, 7625,4179,4733,172,1585,18471,153140,184987,137595,142691,26844,121479,177617,201571,137882,226741,184987,153140,132085, 82220,214156,157750,1,2,126616,175494,0.4191,0.3943,0.0,0.8,0,-0.0028951
14,2,681307,555858,0.000187175,0.9458,0.16032,607583,17389,14778,1733,10813,202,2366,26443,505318,11275,10031,1424,8603,160,1780,17267,204595,150606,183367,129620,39424,102022,257453,159196,209359,190901,150606,204595,115821,111395,175048,233406,1,2,178839,146469,0.5498,0.5163,0.8,0.8,0,-0.0028951
15,1,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
15,2,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
16,1,679562,555923,0.002374558,0.9677,0.21637,623952, 4375,11356,5497, 5779,194,2044,26365,516511, 3373, 7400,4145,4662,164,1570,18098,159737,183670,145520,143617,27625,121352,186794,200486,145256,226782,183670,159737,132484, 86572,213634,166025,1,0,132986,175181,0.4315,0.4053,0.2,1.0,0,-0.0918814
16,2,682797,554162,0.002374558,0.9677,0.29171,604312,20740,15253,1796,10889,213,2386,27208,500993,13178,10256,1458,8674,168,1795,17640,197998,151923,175442,128694,38643,102149,248276,160281,201985,190860,151923,197998,115422,107042,175571,225130,1,0,172469,146781,0.5402,0.5078,0.8,1.0,0,-0.0918814
17,1,683636,559329,0.003606245,0.9734,0.22177,627612, 4553,11488,5506, 5840,187,2055,26395,519540, 3516, 7565,4137,4717,158,1582,18114,163186,184148,149109,144455,27755,121923,191438,200523,148896,227515,184148,163186,133189, 88432,214019,170167,1,0,136077,175713,0.4364,0.4094,0.2,1.0,0,-0.0884262
17,2,678723,550756,0.003606245,0.9734,0.32954,600652,20562,15121,1787,10828,220,2375,27178,497964,13035,10091,1466,8619,174,1783,17624,194549,151445,171853,127856,38513,101578,243632,160244,198345,190127,151445,194549,114717,105183,175186,220988,1,0,169378,146250,0.5366,0.5049,0.8,1.0,0,-0.0884262
18,1,680080,555736,0.001614112,0.9667,0.24789,623821, 4998,11353,5516, 5872,192,2029,26299,515985, 3708, 7439,4148,4728,161,1563,18004,158625,184757,144208,144329,27296,122113,185309,201061,143912,227428,184757,158625,133221, 85752,214244,164611,1,1,131870,175938,0.4284,0.4023,0.0,0.8,0, 0.0049789
18,2,682279,554349,0.001614112,0.9667,0.24421,604443,20117,15256,1777,10796,215,2401,27274,501519,12843,10217,1455,8608,171,1802,17734,199110,150836,176754,127982,38972,101388,249761,159706,203329,190214,150836,199110,114685,107863,174960,226545,1,1,173585,146025,0.5431,0.5107,0.8,0.8,0, 0.0049789
19,1,682839,558456,0.002436215,0.9753,0.25301,626791, 4570,11490,5506, 5860,189,2066,26367,518656, 3536, 7576,4132,4731,158,1593,18074,162893,184074,148879,144373,27729,121873,191225,200402,148713,227421,184074,162893,133123, 88304,213911,169969,1,0,135888,175629,0.4362,0.4092,0.2,1.0,0,-0.0886882
19,2,679520,551629,0.002436215,0.9753,0.28700,601473,20545,15119,1787,10808,218,2364,27206,498848,13015,10080,1471,8605,174,1772,17664,194842,151519,172083,127938,38539,101628,243845,160365,198528,190221,151519,194842,114783,105311,175293,221186,1,0,169567,146334,0.5368,0.5050,0.8,1.0,0,-0.0886882
20,1,683194,556966,0.002957370,0.9515,0.22572,622148, 8919,11825,5583, 5707,196,2073,26743,514608, 5908, 7732,4190,4633,175,1597,18123,159376,182871,143777,142926,27532,121385,186148,198825,144944,225155,182871,159376,132156, 85655,211990,165546,1,2,132355,174232,0.4317,0.4054,0.2,1.0,0,-0.0933076
20,2,679165,553119,0.002957370,0.9515,0.21490,606116,16196,14784,1710,10961,211,2357,26830,502896,10643, 9924,1413,8703,157,1768,17615,198359,152722,177185,129385,38736,102116,248922,161942,202297,192487,152722,198359,115750,107960,177215,225609,1,2,173100,147730,0.5395,0.5072,0.8,1.0,0,-0.0933076
21,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
21,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
22,1,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
22,2,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
23,1,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
23,2,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
24,1,679217,551500,0.002881032,0.9677,0.26819,600934,20718,15230,1770,10909,213,2364,27079,498487,13166,10242,1445,8690,168,1780,17522,197374,150449,175098,127713,38545,101160,247734,158712,201671,189144,150449,197374,114437,106821,173928,224702,1,0,172084,145436,0.5420,0.5094,0.8,1.0,0,-0.0902143
24,2,683142,558585,0.002881032,0.9677,0.21607,627330, 4397,11379,5523, 5759,194,2066,26494,519017, 3385, 7414,4158,4646,164,1585,18216,160361,185144,145864,144598,27723,122341,187336,202055,145570,228498,185144,160361,133469, 86793,215276,166453,1,0,133371,176527,0.4304,0.4043,0.2,1.0,0,-0.0902143
25,1,684573,559476,0.004981800,0.9163,0.08592,612535,14221,14786,3278,10062,186,2395,27110,509196, 9620,10000,2507,8064,164,1816,18109,203553,157092,186972,133358,37410,108069,250332,167553,202156,198132,157092,203553,120714,112191,182842,226244,1,2,176085,152841,0.5353,0.5019,0.8,0.8,0,-0.0072896
25,2,677786,550609,0.004981800,0.9163,0.26879,615729,10894,11823,4015, 6606,221,2035,26463,508308, 6931, 7656,3096,5272,168,1549,17629,154182,178501,133990,138953,28858,115432,184738,193214,145085,219510,178501,154182,127192, 81424,206362,164911,1,2,129371,169122,0.4334,0.4082,0.0,0.8,0,-0.0072896
26,1,683724,559135,0.003735432,0.9753,0.25551,627634, 4559,11505,5510, 5845,187,2058,26426,519298, 3521, 7567,4139,4726,158,1590,18136,163042,184228,149003,144413,27771,121929,191215,200655,148724,227646,184228,163042,133171, 88387,214151,169970,1,0,135951,175774,0.4361,0.4092,0.2,1.0,0,-0.0884769
26,2,678635,550950,0.003735432,0.9753,0.28954,600630,20556,15104,1783,10823,220,2372,27147,498206,13030,10089,1464,8610,174,1775,17602,194693,151365,171959,127898,38497,101572,243855,160112,198517,189996,151365,194693,114735,105228,175054,221186,1,0,169504,146189,0.5369,0.5051,0.8,1.0,0,-0.0884769
27,1,681315,557556,0.000198920,0.9753,0.25025,625492, 4545,11463,5492, 5854,187,2053,26229,517892, 3516, 7554,4123,4728,158,1586,17999,163043,183461,149054,144042,27678,121576,191569,199860,149020,226931,183461,163043,132809, 88366,213396,170295,1,0,136073,175174,0.4372,0.4101,0.2,1.0,0,-0.0889192
