draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,542491,432307,0.0006981946,0.9728,0.2195,22185,460172,1952,23733,4463,417,2412,27157,15439,374983,1442,16333,3683,317,1883,18227,131336,101397,113123,137442,156242,93839,133886,110309,113581,140796,165481,143491,161041,157019,159054,145437,169140,142870,171166,139747,133647,110747,113581,140796,165176,145713,1,0,131235,147405,0.4710,0.4708,0.2,0.2,0,0.2557
cd_2020,2,541734,417816,0.0006981946,0.9728,0.5312,23014,441146,3125,40859,3614,422,1962,27592,14469,352570,2339,26384,2983,325,1443,17303,147901, 76309,122989,118488,176522,65128,143584, 94550,122381,113077,178118,101291,172128,115440,169490,105421,179179,104151,181769, 99868,147749, 88620,122381,113077,176137,105234,1,0, 99372,159406,0.3840,0.3847,0.0,0.2,0,0.2557
1,1,541648,419987,0.0008568332,0.9641,0.2833,23950,437096,2339,46897,3749,401,1877,25339,15421,351725,1722,30033,3108,289,1415,16274,140583, 83205,120745,120960,165068,76066,139129, 97935,117348,120492,170940,114284,165867,128199,163492,117297,173277,115460,174921,112412,141381, 94544,117348,120492,169699,117530,1,1,108630,153136,0.4150,0.4153,0.2,0.4,0,0.1586
1,2,542577,430136,0.0008568332,0.9641,0.2647,21249,464222,2738,17695,4328,438,2497,29410,14487,375828,2059,12684,3558,353,1911,19256,138654, 94501,115367,134970,167696,82901,138341,106923,118613,133381,172659,130499,167302,144260,165052,133561,175042,131562,178014,127203,140015,104823,118613,133381,171614,133417,1,1,121976,153674,0.4425,0.4427,0.2,0.4,0,0.1586
2,1,541023,419515,0.0020097305,0.9755,0.4975,24905,439531,3192,39545,4279,452,2030,27089,16082,353123,2412,25298,3562,338,1507,17193,139015, 80184,119234,117539,164896,71531,138541, 93896,116175,116523,168856,110989,164426,124202,162107,113205,171135,111917,173164,108627,140421, 90789,116175,116523,167938,113788,2,0,104861,151754,0.4086,0.4088,0.1,0.3,0,0.2067
2,2,543202,430608,0.0020097305,0.9755,0.2596,20294,461787,1885,25047,3798,387,2344,27660,13826,374430,1369,17419,3104,304,1819,18337,140222, 97521,116878,138391,167868,87437,138929,110963,119786,137350,174743,133794,168743,148257,166437,137653,177184,135104,179771,130988,140975,108578,119786,137350,173376,137159,2,0,125746,155056,0.4478,0.4481,0.2,0.3,0,0.2067
3,1,542848,418661,0.0013567295,0.9695,0.4327,23365,441358,3119,41363,3627,435,1965,27616,14715,352897,2327,26604,2997,335,1452,17334,147290, 77160,122592,119211,175887,66083,143192, 95204,121910,114057,177619,102782,171740,116876,169068,106866,178771,105540,181417,101244,147240, 89416,121910,114057,175723,106662,1,0,100502,158948,0.3874,0.3881,0.0,0.2,0,0.2559
3,2,541377,431462,0.0013567295,0.9695,0.1878,21834,459960,1958,23229,4450,404,2409,27133,15193,374656,1454,16113,3669,307,1874,18196,131947,100546,113520,136719,156877,92884,134278,109655,114051,139815,165980,142000,161429,155583,159476,143992,169548,141481,171519,138370,134156,109951,114051,139815,165590,144285,1,0,130104,147862,0.4681,0.4679,0.2,0.2,0,0.2559
4,1,542981,418537,0.0016020660,0.9744,0.5459,23010,441537,3123,41683,3625,428,1956,27619,14463,352753,2337,26895,2994,330,1436,17329,148037, 76548,123096,118799,176683,65371,143694, 94855,122472,113376,178168,101544,172191,115688,169558,105666,179249,104393,181834,100113,147877, 88895,122472,113376,176200,105481,1,0, 99635,159498,0.3845,0.3852,0.0,0.2,0,0.2559
4,2,541244,431586,0.0016020660,0.9744,0.2191,22189,459781,1954,22909,4452,411,2418,27130,15445,374800,1444,15822,3672,312,1890,18201,131201,101158,113016,137131,156081,93596,133776,110003,113490,140496,165431,143239,160979,156771,158986,145192,169070,142629,171101,139502,133519,110472,113490,140496,165113,145466,1,0,130972,147313,0.4706,0.4704,0.2,0.2,0,0.2559
5,1,541645,427616,0.0008623671,0.9641,0.3127,21149,453607,2637,28597,4158,438,2436,28623,14399,367158,1993,19738,3427,342,1876,18683,136485, 93645,112998,133638,162833,83993,136038,105794,115431,132234,168702,127884,162615,142227,160847,131092,170825,129086,173037,125371,137089,104267,115431,132234,167205,131132,1,0,120496,149981,0.4455,0.4458,0.2,0.3,0,0.2085
5,2,542580,422507,0.0008623671,0.9641,0.3303,24050,447711,2440,35995,3919,401,1938,26126,15509,360395,1788,22979,3239,300,1450,16847,142752, 84060,123114,122292,169931,74975,141432, 99065,120530,121639,174897,116899,170554,130232,167697,119766,177493,117935,179898,114244,144307, 95100,120530,121639,174108,119815,1,0,110110,156829,0.4125,0.4127,0.1,0.3,0,0.2085
6,1,543423,421288,0.0024173949,0.9799,0.5796,24729,441765,3223,39808,4240,447,2029,27182,15934,354773,2425,25516,3532,334,1502,17272,140557, 79913,120275,117810,166568,71183,139816, 94009,117298,116298,170563,109927,165981,123196,163675,112196,172708,110951,174711,107665,141803, 90730,117298,116298,169528,112787,1,0,104314,153215,0.4051,0.4054,0.0,0.2,0,0.2547
6,2,540802,428835,0.0024173949,0.9799,0.2839,20470,459553,1854,24784,3837,392,2345,27567,13974,372780,1356,17201,3134,308,1824,18258,138680, 97793,115837,138121,166196,87785,137654,110850,118663,137574,173036,134856,167188,149263,164869,138661,175610,136070,178224,131950,139593,108637,118663,137574,171785,138160,1,0,126292,153596,0.4512,0.4515,0.2,0.2,0,0.2547
7,1,543247,429243,0.0020927391,0.9782,0.2516,20137,457105,1857,29732,3815,383,2282,27936,13680,370396,1355,20236,3118,301,1762,18395,138136, 97854,114849,138787,165903,87711,136656,111683,117324,138026,171461,133974,165377,148620,163116,137900,174010,135371,176466,131292,138887,109008,117324,138026,170086,137432,0,0,126121,152330,0.4529,0.4532,0.2,0.2,0,0.2549
7,2,540978,420880,0.0020927391,0.9782,0.4518,25062,444213,3220,34860,4262,456,2092,26813,16228,357157,2426,22481,3548,341,1564,17135,141101, 79852,121263,117144,166861,71257,140814, 93176,118638,115847,172138,110809,167792,123839,165428,112957,174308,111651,176469,108323,142509, 90359,118638,115847,171227,113516,0,0,104485,154481,0.4035,0.4037,0.0,0.2,0,0.2549
8,1,542958,423041,0.0015596394,0.9728,0.3184,20157,439217,2648,45155,4066,419,2183,29113,13619,353527,1955,29912,3337,333,1630,18728,143071, 85625,121131,122702,166966,77075,140682, 98747,119589,122370,172143,116159,166748,129284,164786,118523,174331,116895,175460,114064,142963, 96038,119589,122370,170694,118985,1,0,110144,154490,0.4162,0.4165,0.2,0.4,0,0.1586
8,2,541267,427082,0.0015596394,0.9728,0.2325,25042,462101,2429,19437,4011,420,2191,25636,16289,374026,1826,12805,3329,309,1696,16802,136166, 92080,114981,133228,165798,81893,136788,106112,116372,131503,171456,128624,166421,143175,163758,132334,173987,130127,177475,125551,138433,103329,116372,131503,170620,131962,1,0,120462,152320,0.4416,0.4418,0.2,0.4,0,0.1586
9,1,544010,416808,0.0035001960,0.9647,0.3334,22738,434553,3015,50096,3673,474,1982,27479,14280,345959,2229,32376,3018,348,1443,17155,147087, 71532,124260,109148,171270,62695,144242, 86594,122368,105627,177251, 96008,171958,109010,169581, 98615,179315, 97369,180506, 94547,146714, 82494,122368,105627,175722, 99109,1,0, 93114,158783,0.3697,0.3704,0.0,0.3,0,0.1989
9,2,540215,433315,0.0035001960,0.9647,0.1885,22461,466765,2062,14496,4404,365,2392,27270,15628,381594,1552,10341,3648,294,1883,18375,132150,106173,111852,146782,161494,96272,133228,118265,113593,148246,166348,148775,161211,163449,158963,152243,169003,149653,172429,145068,134682,116873,113593,148246,165591,151838,1,0,137492,148027,0.4816,0.4814,0.3,0.3,0,0.1989
10,1,540978,420880,0.0020927391,0.9782,0.4518,25062,444213,3220,34860,4262,456,2092,26813,16228,357157,2426,22481,3548,341,1564,17135,141101, 79852,121263,117144,166861,71257,140814, 93176,118638,115847,172138,110809,167792,123839,165428,112957,174308,111651,176469,108323,142509, 90359,118638,115847,171227,113516,0,0,104485,154481,0.4035,0.4037,0.0,0.2,0,0.2549
10,2,543247,429243,0.0020927391,0.9782,0.2516,20137,457105,1857,29732,3815,383,2282,27936,13680,370396,1355,20236,3118,301,1762,18395,138136, 97854,114849,138787,165903,87711,136656,111683,117324,138026,171461,133974,165377,148620,163116,137900,174010,135371,176466,131292,138887,109008,117324,138026,170086,137432,0,0,126121,152330,0.4529,0.4532,0.2,0.2,0,0.2549
11,1,539763,426488,0.0043339713,0.9668,0.2824,20804,452605,2706,27421,4267,439,2438,29083,14183,366489,2045,19026,3511,348,1855,19031,136563, 94035,113738,133548,164676,82799,136355,106034,116708,132105,169140,129239,163925,142691,162036,131860,171539,130165,174234,126100,137834,104103,116708,132105,168175,132011,1,0,120858,150891,0.4447,0.4449,0.2,0.4,0,0.1586
11,2,544462,423635,0.0043339713,0.9668,0.3359,24395,448713,2371,37171,3810,400,1936,25666,15725,361064,1736,23691,3155,294,1471,16499,142674, 83671,122374,122382,168088,76169,141115, 98825,119253,121767,174459,115544,169244,129768,166508,118998,176779,116856,178701,113515,143562, 95263,119253,121767,173139,118936,1,0,109749,155919,0.4131,0.4134,0.2,0.4,0,0.1586
12,1,541702,417546,0.0007572229,0.9652,0.3405,23766,440481,3123,40698,3683,431,1968,27552,14962,351957,2330,26254,3038,333,1442,17230,143198, 79414,118444,121785,172160,68181,138775, 98095,117301,116493,172828,104027,166191,118971,163408,109103,173535,107415,176200,103014,143143, 91870,117301,116493,170432,108506,1,0,102649,154204,0.3996,0.4004,0.1,0.3,0,0.2063
12,2,542523,432577,0.0007572229,0.9652,0.1502,21433,460837,1954,23894,4394,408,2406,27197,14946,375596,1451,16463,3628,309,1884,18300,136039, 98291,117668,134145,160603,90787,138695,106764,118660,137380,170770,140756,166978,153488,165136,141755,174783,139606,176735,136601,138253,107497,118660,137380,170881,142441,1,0,127957,152607,0.4561,0.4558,0.2,0.3,0,0.2063
13,1,540526,414028,0.0029265143,0.9685,0.3646,22659,431529,2987,49856,3651,471,1988,27385,14248,343551,2210,32163,3000,345,1434,17077,146797, 70912,123946,108453,170906,62082,143829, 86042,122208,104905,176818, 95181,171542,108184,169136, 97867,178918, 96521,180058, 93801,146369, 81873,122208,104905,175295, 98310,1,0, 92394,158415,0.3684,0.3691,0.0,0.3,0,0.1984
13,2,543699,436095,0.0029265143,0.9685,0.2103,22540,469789,2090,14736,4426,368,2386,27364,15660,384002,1571,10554,3666,297,1892,18453,132441,106794,112166,147477,161857,96886,133641,118817,113754,148967,166780,149602,161627,164275,159408,152991,169401,150501,172878,145814,135027,117494,113754,148967,166019,152637,1,0,138212,148395,0.4822,0.4821,0.3,0.3,0,0.1984
14,1,542851,434042,0.0013622634,0.9690,0.2148,23858,470004,2974,10799,4965,424,2484,27343,16583,382631,2285, 7991,4124,342,1937,18149,126285,108577,105959,150220,157843,97223,128663,120478,106648,150819,157501,150436,152399,165395,150467,154032,159421,152079,163760,146698,129688,119125,106648,150819,156710,153728,1,0,139595,140895,0.4977,0.4975,0.4,0.4,0,0.1489
14,2,541374,416081,0.0013622634,0.9690,0.3062,21341,431314,2103,53793,3112,415,1890,27406,13325,344922,1496,34726,2542,300,1389,17381,152952, 69129,130153,105711,174921,61745,148807, 84381,129314,103053,186097, 94347,180770,107064,178076, 96826,188897, 94943,189176, 92917,151708, 80242,129314,103053,184603, 97219,1,0, 91011,165916,0.3542,0.3550,0.0,0.4,0,0.1489
15,1,540978,420880,0.0020927391,0.9782,0.4518,25062,444213,3220,34860,4262,456,2092,26813,16228,357157,2426,22481,3548,341,1564,17135,141101, 79852,121263,117144,166861,71257,140814, 93176,118638,115847,172138,110809,167792,123839,165428,112957,174308,111651,176469,108323,142509, 90359,118638,115847,171227,113516,0,0,104485,154481,0.4035,0.4037,0.0,0.2,0,0.2549
15,2,543247,429243,0.0020927391,0.9782,0.2516,20137,457105,1857,29732,3815,383,2282,27936,13680,370396,1355,20236,3118,301,1762,18395,138136, 97854,114849,138787,165903,87711,136656,111683,117324,138026,171461,133974,165377,148620,163116,137900,174010,135371,176466,131292,138887,109008,117324,138026,170086,137432,0,0,126121,152330,0.4529,0.4532,0.2,0.2,0,0.2549
16,1,540408,415560,0.0031441813,0.9706,0.3393,21329,431075,2128,53406,3105,406,1842,27117,13338,344889,1525,34405,2549,291,1355,17208,152142, 70804,129574,107373,173971,63671,148162, 86021,128551,105057,184610, 96899,179448,109584,176744, 99408,187565, 97487,187907, 95447,150962, 81968,128551,105057,183254, 99765,1,0, 93174,164867,0.3611,0.3618,0.0,0.3,0,0.2021
