draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,548026,440765,0.0012092449,0.9281,0.2580,101822,350105,34366,1495,20127,181,8493,31437, 70326,299092,25817,1149,16812,139,6380,21050,129153, 75105,114699,58666,102110,53959,131174,120830,48256,152910, 83184,160166, 67157, 75105,129153,53628,117202, 75172,156538,1,1,130149, 64387,0.6690,0.6692,1.0000,2.000,0,-0.25606
cd_2020,2,549353,446829,0.0012092449,0.9281,0.3025, 80279,403945,21020,2018,18240,139,2899,20813, 55662,343343,16107,1550,14600,116,2073,13378,123372,105437,116779,85754, 96012,85974,143177,126446,71036,154576,116737,168408, 97698,105437,123372,80921,120603,107218,161491,1,1,132682, 93774,0.5859,0.5810,1.0000,2.000,0,-0.25606
1,1,551104,436626,0.0044004852,0.9455,0.4708,143281,306276,40778,1533,23239,158,7563,28276, 99338,261856,30209,1142,19419,119,5542,19001,116003, 74447,101109,57160, 86081,57396,117439,106865,47543,132532, 84586,141051, 67257, 74447,116003,54033,102873, 75923,136792,2,3,114440, 64732,0.6387,0.6379,1.0000,2.000,0,-0.25606
1,2,546275,450968,0.0044004852,0.9455,0.2974, 38820,447774,14608,1980,15128,162,3829,23974, 26650,380579,11715,1557,11993,136,2911,15427,136522,106094,130369,87260,112041,82537,156911,140411,71750,174954,115336,187522, 97598,106094,136522,80515,134933,106467,181237,2,3,148390, 93429,0.6136,0.6100,1.0000,2.000,0,-0.25606
2,1,550042,437604,0.0024649642,0.9489,0.4079,141534,305872,40510,1618,24828,158,7568,27954, 98162,262684,30407,1236,20603,122,5588,18802,117535, 72987,102856,56085, 87068,57538,118914,108546,46499,134287, 82768,142951, 65578, 72987,117535,53374,104346, 74174,138619,2,4,116023, 63576,0.6460,0.6451,1.0000,2.000,0,-0.25606
2,2,547337,449990,0.0024649642,0.9489,0.2832, 40567,448178,14876,1895,13539,162,3824,24296, 27826,379751,11517,1463,10809,133,2865,15626,134990,107555,128621,88336,111054,82395,155436,138730,72794,173198,117154,185623, 99277,107555,134990,81174,133460,108216,179410,2,4,146808, 94585,0.6082,0.6046,1.0000,2.000,0,-0.25606
3,1,550911,441507,0.0040487379,0.9100,0.2130,103759,374819,25138,1983,20766,140,3466,20840, 71418,316970,18959,1503,16732,110,2508,13307,115558, 99826,106866,78685, 88387,78792,130409,115052,65820,140024,112676,152998, 92474, 99826,115558,74432,110177,102576,146511,3,2,121328, 88046,0.5795,0.5758,1.0000,2.000,0,-0.25606
3,2,546468,446087,0.0040487379,0.9100,0.3100, 78342,379231,30248,1530,17601,180,7926,31410, 54570,325465,22965,1196,14680,145,5945,21121,136967, 80716,124612,65735,109735,61140,143941,132224,53473,167461, 87246,175576, 72381, 80716,136967,60117,127628, 79814,171518,3,2,141503, 70115,0.6687,0.6673,1.0000,2.000,0,-0.25606
4,1,547782,434610,0.0016539409,0.9584,0.4082,145153,294659,43635,1672,22833,168,8762,30900,100918,252984,32618,1284,19204,131,6518,20953,119588, 63778,103809,48594, 90051,47398,116035,108708,39994,136294, 73128,142531, 58074, 63778,119588,45329,104650, 65602,139413,1,2,116716, 55161,0.6791,0.6801,1.0000,2.000,0,-0.25606
4,2,549597,452984,0.0016539409,0.9584,0.3703, 36948,459391,11751,1841,15534,152,2630,21350, 25070,389451, 9306,1415,12208,124,1935,13475,132937,116764,127668,95826,108071,92535,158316,138568,79298,171192,126794,186043,106781,116764,132937,89219,133156,116788,178616,1,2,146114,103000,0.5865,0.5814,1.0000,2.000,0,-0.25606
5,1,550458,437262,0.0032231344,0.9610,0.4246,148836,291538,44626,1689,23901,168,8801,30899,103444,251466,33357,1298,20053,130,6542,20972,120480, 63599,104286,47821, 90596,46980,116781,109098,39295,136700, 72287,143555, 56376, 63599,120480,44699,105190, 64332,140128,1,2,117356, 54392,0.6833,0.6843,1.0000,2.000,0,-0.25606
5,2,546921,450332,0.0032231344,0.9610,0.3169, 33265,462512,10760,1824,14466,152,2591,21351, 22544,390969, 8567,1401,11359,125,1911,13456,132045,116943,127191,96599,107526,92953,157569,138178,79998,170786,127635,185019,108479,116943,132045,89849,132616,118057,177902,1,2,145474,103768,0.5837,0.5785,1.0000,2.000,0,-0.25606
6,1,546839,438921,0.0033725814,0.9307,0.2432,131574,311874,41927,1655,23504,151,7460,28694, 92334,269240,31666,1294,19292,121,5548,19426,128856, 69926,113985,54639, 97001,56477,129000,119564,44942,149147, 77884,157568, 61632, 69926,128856,52019,114887, 69759,153357,4,2,127874, 60916,0.6773,0.6765,1.0000,2.000,0,-0.25606
6,2,550540,448673,0.0033725814,0.9307,0.2503, 50527,442176,13459,1858,14863,169,3932,23556, 33654,373195,10258,1405,12120,134,2905,15002,123669,110615,117492,89782,101120,83456,145351,127712,74351,158339,122038,171006,103223,110615,123669,82530,122919,112631,164672,4,2,134956, 97244,0.5812,0.5772,1.0000,2.000,0,-0.25606
7,1,549146,441128,0.0008319824,0.9203,0.2433, 92629,383936,25329,1935,17029,137,4644,23507, 63331,324737,18920,1455,13994,102,3391,15198,114334, 98423,105580,77178, 89462,73898,129035,114213,64069,141177,109940,153083, 90871, 98423,114334,71715,109573,100407,147130,3,2,120984, 85730,0.5853,0.5822,1.0000,2.000,0,-0.25606
7,2,548233,446466,0.0008319824,0.9203,0.3388, 89472,370114,30057,1578,21338,183,6748,28743, 62657,317698,23004,1244,17418,153,5062,19230,138191, 82119,125897,67243,108660,66035,145315,133063,55223,166308, 89982,175491, 73984, 82119,138191,62834,128233, 81983,170899,3,2,141847, 72431,0.6620,0.6600,1.0000,2.000,0,-0.25606
8,1,549955,452728,0.0023064046,0.9602,0.3528, 40876,452742,13030,1896,16609,155,2819,21828, 28000,383700,10429,1479,13058,129,2088,13845,135166,112303,129513,92896,109797,89920,158599,139952,76912,173599,122309,187441,103538,112303,135166,86575,134465,112924,180519,1,2,147724, 99647,0.5972,0.5924,1.0000,2.000,0,-0.25606
8,2,547424,434866,0.0023064046,0.9602,0.4008,141225,301308,42356,1617,21758,165,8573,30422, 97988,258735,31495,1220,18354,126,6365,20583,117359, 68238,101964,51524, 88325,50013,115751,107324,42381,133886, 77613,141132, 61317, 68238,117359,47973,103341, 69466,137510,1,2,115106, 58514,0.6630,0.6637,1.0000,2.000,0,-0.25606
