draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_20_rep_tru,pre_20_dem_bid,adv_20,arv_20,county_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,896067,715682,0.00088197,0.880,0.35059,805369,36345,11331,1632, 6132,155,2136,32967,649695,29039, 7866,1426,5030,116,1294,21216,273523,112947,112947,273523,0,112947,273523,0.2923,0.2923,0,0,0,0.104
cd_2020,2,897649,717250,0.00088197,0.880,0.17486,793465,28404,23496,1555, 8771,274,2516,39168,643345,22963,15617,1335,7203,217,1687,24883,271859,123037,123037,271859,0,123037,271859,0.3116,0.3116,0,0,0,0.104
1,1,900732,721338,0.00431952,0.880,0.19262,796873,29275,23524,1561, 8514,273,2456,38256,647037,23912,15709,1339,7011,210,1646,24474,274309,122068,122068,274309,0,122068,274309,0.3080,0.3080,0,0,0,0.104
1,2,892984,711594,0.00431952,0.880,0.32155,801961,35474,11303,1626, 6389,156,2196,33879,646003,28090, 7774,1422,5222,123,1335,21625,271073,113916,113916,271073,0,113916,271073,0.2959,0.2959,0,0,0,0.104
2,1,900418,717604,0.00396941,0.888,0.38816,809023,35462,11360,1647, 6444,152,2176,34154,651663,28088, 7811,1450,5259,118,1332,21883,272906,114039,114039,272906,0,114039,272906,0.2947,0.2947,0,0,0,0.104
2,2,893298,715328,0.00396941,0.888,0.18847,789811,29287,23467,1540, 8459,277,2476,37981,641377,23914,15672,1311,6974,215,1649,24216,272476,121945,121945,272476,0,121945,272476,0.3092,0.3092,0,0,0,0.104
3,1,895202,716762,0.00184645,0.880,0.19515,791699,29198,23473,1555, 8473,279,2449,38076,642793,23844,15657,1335,6989,215,1636,24293,272451,121809,121809,272451,0,121809,272451,0.3090,0.3090,0,0,0,0.104
3,2,898514,716170,0.00184645,0.880,0.27697,807135,35551,11354,1632, 6430,150,2203,34059,650247,28158, 7826,1426,5244,118,1345,21806,272931,114175,114175,272931,0,114175,272931,0.2949,0.2949,0,0,0,0.104
4,1,900592,721368,0.00416342,0.832,0.14448,796018,29667,23610,1578, 8518,264,2482,38455,646474,24265,15826,1347,7018,203,1643,24592,274301,122966,122966,274301,0,122966,274301,0.3095,0.3095,0,0,0,0.104
4,2,893124,711564,0.00416342,0.832,0.28226,802816,35082,11217,1609, 6385,165,2170,33680,646566,27737, 7657,1414,5215,130,1338,21507,271081,113018,113018,271081,0,113018,271081,0.2942,0.2942,0,0,0,0.104
